a,b,c,d,e
Aeroflex Industries Ltd,AEROFLEX,AEROFLEX,Iron &amp; Steel Products,https://halalstock.in/is-aeroflex-industries-ltd-halal-and-shariah-compliant/
Aeron Composite Limited,,AERON,Other Industrial Products,https://halalstock.in/is-aeron-composite-limited-halal-and-shariah-compliant/
Aesthetik Engineers Limited,,AESTHETIK,Civil Construction,https://halalstock.in/is-aesthetik-engineers-limited-halal-and-shariah-compliant/
Aether Industries Limited,AETHER,AETHER,Basic Materials,https://halalstock.in/is-aether-industries-limited-halal-and-shariah-compliant/
Afcom Holdings Ltd,AFCOM,,Logistics Solution Provider,https://halalstock.in/is-afcom-holdings-ltd-halal-and-shariah-compliant/
Afcons Infrastructure Limited,AFCONS,AFCONS,Civil Construction,https://halalstock.in/is-afcons-infrastructure-limited-halal-and-shariah-compliant/
AFFLE (INDIA) LTD,AFFLE,AFFLE,Miscellaneous,https://halalstock.in/is-affle-india-ltd-halal-and-shariah-compliant/
AFFORDABLE ROBOTIC &amp; AUTOMATION LTD,AFFORDABLE,AFFORDABLE,Engineering,https://halalstock.in/is-affordable-robotic-automation-ltd-halal-and-shariah-compliant/
Agarwal Float Glass India Ltd,,AGARWALFT,Glass,https://halalstock.in/is-agarwal-float-glass-india-ltd-halal-and-shariah-compliant/
AGARWAL INDUSTRIAL CORPORATION LTD.,AGARIND,AGARIND,Petrochemicals,https://halalstock.in/is-agarwal-industrial-corporation-ltd-halal-and-shariah-compliant/
Agarwal Toughened Glass India Limited,,AGARWALTUF,Glass-Industrial,https://halalstock.in/is-agarwal-toughened-glass-india-limited-halal-and-shariah-compliant/
AGI INFRA LTD,AGIIL,AGIIL,Construction,https://halalstock.in/is-agi-infra-ltd-halal-and-shariah-compliant/
Agni Green,,AGNI,Electric Equipment,https://halalstock.in/is-agni-green-halal-and-shariah-compliant/
AGRO PHOS INDIA,,AGROPHOS,Fertilizers,https://halalstock.in/is-agro-phos-india-halal-and-shariah-compliant/
AGRO TECH FOODS LTD.,ATFL,ATFL,Solvent Extraction,https://halalstock.in/is-agro-tech-foods-ltd-halal-and-shariah-compliant/
AHLADA ENGINEERS,,AHLADA,Steel - Medium / Small,https://halalstock.in/is-ahlada-engineers-halal-and-shariah-compliant/
AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUCONT,AHLUCONT,Construction,https://halalstock.in/is-ahluwalia-contracts-india-ltd-halal-and-shariah-compliant/
AIA ENGINEERING LTD.,AIAENG,AIAENG,Castings &amp; Forgings,https://halalstock.in/is-aia-engineering-ltd-halal-and-shariah-compliant/
Aik Pipes &amp; Polymers Ltd,AIKPIPES,,Plastic Products - Industrial,https://halalstock.in/is-aik-pipes-polymers-ltd-halal-and-shariah-compliant/
AIMCO PESTICIDES LTD.,AIMCOPEST,,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-aimco-pesticides-ltd-halal-and-shariah-compliant/
AIMTRON ELECTRONICS LIMITED,,AIMTRON,Industrial Products,https://halalstock.in/is-aimtron-electronics-limited-halal-and-shariah-compliant/
AIRAN,,AIRAN,Computers - Software - Medium / Small,https://halalstock.in/is-airan-halal-and-shariah-compliant/
Airfloa Rail Technology Ltd,AIRFLOA,,Industrial Products,https://halalstock.in/is-airfloa-rail-technology-ltd-halal-and-shariah-compliant/
AISHWARYA TECHNOLOGIES AND TELECOM LTD,AISHWARYA,,Telecommunications - Equipment,https://halalstock.in/is-aishwarya-technologies-and-telecom-ltd-halal-and-shariah-compliant/
AJANTA PHARMA LTD.,AJANTPHARM,AJANTPHARM,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-ajanta-pharma-ltd-halal-and-shariah-compliant/
AJANTA SOYA LTD.,AJANTSOY,,Miscellaneous,https://halalstock.in/is-ajanta-soya-ltd-halal-and-shariah-compliant/
Ajax Engineering Limited,AJAXENGG,AJAXENGG,Construction Vehicles,https://halalstock.in/is-ajax-engineering-limited-halal-and-shariah-compliant/
AJMERA REALTY &amp; INFRA INDIA LTD.,AJMERA,AJMERA,Construction,https://halalstock.in/is-ajmera-realty-infra-india-ltd-halal-and-shariah-compliant/
AJOONI BIOTECH,,AJOONI,Miscellaneous,https://halalstock.in/is-ajooni-biotech-halal-and-shariah-compliant/
Akanksha Power &amp; Infrastructure Ltd,,AKANKSHA,Other Electrical Equipment,https://halalstock.in/is-akanksha-power-infrastructure-ltd-halal-and-shariah-compliant/
AKG EXIM,,AKG,Trading,https://halalstock.in/is-akg-exim-halal-and-shariah-compliant/
AKI INDIA LTD,AKI,AKI,Leather / Leather Products,https://halalstock.in/is-aki-india-ltd-halal-and-shariah-compliant/
AKSHAR SPINTEX LTD,AKSHAR,AKSHAR,Textiles - Cotton/Blended,https://halalstock.in/is-akshar-spintex-ltd-halal-and-shariah-compliant/
Akums Drugs and Pharmaceuticals Limited,AKUMS,AKUMS,Pharmaceuticals,https://halalstock.in/is-akums-drugs-and-pharmaceuticals-limited-halal-and-shariah-compliant/
AKZO NOBEL INDIA LIMITED,AKZOINDIA,AKZOINDIA,Paints / Varnishes,https://halalstock.in/is-akzo-nobel-india-limited-halal-and-shariah-compliant/
ALBERT DAVID LTD.,ALBERTDA,ALBERTDAVD,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-albert-david-ltd-halal-and-shariah-compliant/
Alchemist Corporation Ltd,ALCHCORP,,Commodity Chemicals,https://halalstock.in/is-alchemist-corporation-ltd-halal-and-shariah-compliant/
ALEMBIC LTD.,ALEMBICLTD,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alembic-ltd-halal-and-shariah-compliant/
ALEMBIC PHARMACEUTICALS LTD.,APLLTD,APLLTD,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alembic-pharmaceuticals-ltd-halal-and-shariah-compliant/
Alexander Stamps And Coin Ltd,ALEXANDER,,Diversified.,https://halalstock.in/is-alexander-stamps-and-coin-ltd-halal-and-shariah-compliant/
ALFA TRANSFORMERS LTD.,ALFATRAN,,Electric Equipment,https://halalstock.in/is-alfa-transformers-ltd-halal-and-shariah-compliant/
ALICON CASTALLOY LIMITED,ALICON,ALICON,Auto Ancillaries,https://halalstock.in/is-alicon-castalloy-limited-halal-and-shariah-compliant/
Alivus Life Sciences Limited,,ALIVUS,Pharmaceuticals,https://halalstock.in/is-alivus-life-sciences-limited-halal-and-shariah-compliant/
ALKA SECURITIES LTD.,ALKASEC,,Finance &amp; Investments,https://halalstock.in/is-alka-securities-ltd-halal-and-shariah-compliant/
ALKALI METALS LTD.,ALKALI,ALKALI,Chemicals,https://halalstock.in/is-alkali-metals-ltd-halal-and-shariah-compliant/
ALKEM LABORATORIES LTD,ALKEM,ALKEM,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alkem-laboratories-ltd-halal-and-shariah-compliant/
Alkosign Ltd,ALKOSIGN,,Stationary,https://halalstock.in/is-alkosign-ltd-halal-and-shariah-compliant/
ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,ALKYLAMINE,Chemicals,https://halalstock.in/is-alkyl-amines-chemicals-ltd-halal-and-shariah-compliant/
All E Technologies Ltd,,ALLETEC,Computers - Software &amp; Consulting,https://halalstock.in/is-all-e-technologies-ltd-halal-and-shariah-compliant/
All Time Plastics Ltd,ALLTIME,ALLTIME,Houseware,https://halalstock.in/is-all-time-plastics-ltd-halal-and-shariah-compliant/
Allcargo Gati,ACLGATI,ACLGATI,Couriers,https://halalstock.in/is-allcargo-gati-halal-and-shariah-compliant/
ALLCARGO LOGISTICS LTD.,ALLCARGO,ALLCARGO,Miscellaneous,https://halalstock.in/is-allcargo-logistics-ltd-halal-and-shariah-compliant/
Allcargo Termi,ATL,ATL,Miscellaneous,https://halalstock.in/is-allcargo-termi-halal-and-shariah-compliant/
ALLDIGI TECHNOLOGIES LTD.,ALLDIGI,ALLDIGI,Computers - Software - Medium / Small,https://halalstock.in/is-alldigi-technologies-ltd-halal-and-shariah-compliant/
ALLIED DIGITAL SERVICES LTD.,ADSL,ADSL,Computers - Software - Medium / Small,https://halalstock.in/is-allied-digital-services-ltd-halal-and-shariah-compliant/
ALPA LABORATORIES LTD.,ALPA,ALPA,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-alpa-laboratories-ltd-halal-and-shariah-compliant/
Alpex Solar Ltd,,ALPEXSOLAR,Other Electrical Equipment,https://halalstock.in/is-alpex-solar-ltd-halal-and-shariah-compliant/
ALPHALOGIC TECH.,ALPHALOGIC,,Computers - Software - Medium / Small,https://halalstock.in/is-alphalogic-tech-halal-and-shariah-compliant/
ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,ALPINEHOU,,Construction,https://halalstock.in/is-alpine-housing-development-corporation-ltd-halal-and-shariah-compliant/
ALUFLUORIDE LTD.,ALUFLUOR,,Chemicals,https://halalstock.in/is-alufluoride-ltd-halal-and-shariah-compliant/
Aluwind Architectural Ltd,,ALUWIND,Aluminium Copper &amp; Zinc Products,https://halalstock.in/is-aluwind-architectural-ltd-halal-and-shariah-compliant/
AMAL LTD.,AMAL,,Dyes And Pigments,https://halalstock.in/is-amal-ltd-halal-and-shariah-compliant/
AMARA RAJA ENERGY &amp; MOBILITY LIMITED,ARE&amp;M,ARE&amp;M,Auto Ancillaries,https://halalstock.in/is-amara-raja-batteries-ltd-halal-and-shariah-compliant/
AMBA ENTERPRISES LTD,AEL,,Electric Equipment,https://halalstock.in/is-amba-enterprises-ltd-halal-and-shariah-compliant/
AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-ambalal-sarabhai-enterprises-ltd-halal-and-shariah-compliant/
AMBAR PROTEIN INDUSTRIES LTD,AMBARPIL,,Solvent Extraction,https://halalstock.in/is-ambar-protein-industries-ltd-halal-and-shariah-compliant/
AMBER ENTERPRISES INDIA LTD,AMBER,AMBER,Electronics - Components,https://halalstock.in/is-amber-enterprises-india-ltd-halal-and-shariah-compliant/
AMBEY LABORATORIES LIMITED,,AMBEY,Pesticides / Agrochemicals,https://halalstock.in/is-ambey-laboratories-limited-halal-and-shariah-compliant/
AMBIKA COTTON MILLS LTD.,AMBIKCO,AMBIKCO,Textiles - Cotton/Blended,https://halalstock.in/is-ambika-cotton-mills-ltd-halal-and-shariah-compliant/
Ambo Agritec Ltd,AMBOAGRI,,Edible Oil,https://halalstock.in/is-ambo-agritec-ltd-halal-and-shariah-compliant/
Ameenji Rubber Ltd.,AMEENJI,,Rubber,https://halalstock.in/is-ameenji-rubber-ltd-halal-and-shariah-compliant/
Amerise Biosciences Ltd,AMERISE,,Plastic Products - Industrial,https://halalstock.in/is-amerise-biosciences-ltd-halal-and-shariah-compliant/
AMEYA PRECISION ENGINEERS LIMITED,,AMEYA,Other Industrial Products,https://halalstock.in/is-ameya-precision-engineers-limited-halal-and-shariah-compliant/
Ami Organics Ltd,AMIORG,AMIORG,Pharmaceuticals,https://halalstock.in/is-ami-organics-ltd-halal-and-shariah-compliant/
Amic Forging Ltd,AMIC,,Castings &amp; Forgings,https://halalstock.in/is-amic-forging-ltd-halal-and-shariah-compliant/
AMINES &amp; PLASTICIZERS LTD.,AMNPLST,AMNPLST,Chemicals,https://halalstock.in/is-amines-plasticizers-ltd-halal-and-shariah-compliant/
AMJ LAND HOLDINGS LTD,AMJLAND,AMJLAND,Construction,https://halalstock.in/is-amj-land-holdings-ltd-halal-and-shariah-compliant/
Amkay Products Ltd,AMKAY,,Medical Equipment &amp; Supplies,https://halalstock.in/is-amkay-products-ltd-halal-and-shariah-compliant/
AMRAWORLD AGRICO LTD.,AMRAAGRI,,Textiles,https://halalstock.in/is-amraworld-agrico-ltd-halal-and-shariah-compliant/
AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-amrutanjan-health-care-ltd-halal-and-shariah-compliant/
Amwill Health Care Ltd,AMWILL,,Pharmaceuticals,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANAND RAYONS LTD,ARL,,Trading,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANANT RAJ LIMITED,ANANTRAJ,ANANTRAJ,Construction,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANB Metal Cast Ltd,,AMCL,Aluminium Copper &amp; Zinc Products,https://halalstock.in/is-anb-metal-cast-ltd-halal-and-shariah-compliant/
ANDHRA PAPER LTD,ANDHRAPAP,ANDHRAPAP,Paper,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,,Chemicals,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANDHRA SUGARS LTD.,ANDHRSUGAR,ANDHRSUGAR,Diversified - Medium / Small,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/
ANDREW YULE &amp; COMPANY LTD.,ANDREWYU,,Diversified - Medium / Small,https://halalstock.in/is-andrew-yule-company-ltd-halal-and-shariah-compliant/
ANI INTEGRATED,,AISL,Engineering - Turnkey Services,https://halalstock.in/is-ani-integrated-halal-and-shariah-compliant/
ANIK INDUSTRIES LTD.,ANIKINDS,ANIKINDS,Trading,https://halalstock.in/is-anik-industries-ltd-halal-and-shariah-compliant/
Anirit Ventures Ltd,ANIRIT,,Other Textile Products,https://halalstock.in/is-anirit-ventures-ltd-halal-and-shariah-compliant/
ANJANI FOODS LTD,ANJANIFOODS,,Food - Processing - Indian,https://halalstock.in/is-anjani-foods-ltd-halal-and-shariah-compliant/
ANKA INDIA LTD.,ANKIN,,Plastics Products,https://halalstock.in/is-anka-india-ltd-halal-and-shariah-compliant/
Anlon Healthcare Ltd,AHCL,AHCL,Pharmaceuticals,https://halalstock.in/is-anlon-healthcare-ltd-halal-and-shariah-compliant/
Anlon Technology Solutions Ltd,,ANLON,Diversified Commercial Services,https://halalstock.in/is-anlon-technology-solutions-ltd-halal-and-shariah-compliant/
ANNAPURNA SWADISHT LIMITED,,ANNAPURNA,Packaged Foods,https://halalstock.in/is-annapurna-swadisht-limited-halal-and-shariah-compliant/
Anondita Medicare Ltd,,ANONDITA,Personal Care,https://halalstock.in/is-anondita-medicare-ltd-halal-and-shariah-compliant/
Antarctica Limited,,ANTGRAPHIC,Basic Materials,https://halalstock.in/is-antarctica-limited-halal-and-shariah-compliant/
Anthem Biosciences Limited,ANTHEM,ANTHEM,Biotechnology,https://halalstock.in/is-anthem-biosciences-limited-halal-and-shariah-compliant/
ANUBHAV INFRASTRUCTURE LTD,ANUBHAV,,Construction,https://halalstock.in/is-anubhav-infrastructure-ltd-halal-and-shariah-compliant/
ANUH PHARMA LTD.,ANUHPHR,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-anuh-pharma-ltd-halal-and-shariah-compliant/
ANUPAM RASAYAN INDIA LTD,ANURAS,ANURAS,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-anupam-rasayan-india-ltd-halal-and-shariah-compliant/
Anya Polytech &amp; Fertilizers Limited,,ANYA,Fertilizers,https://halalstock.in/is-anya-polytech-fertilizers-limited-halal-and-shariah-compliant/
APAR INDUSTRIES LTD.,APARINDS,APARINDS,Electric Equipment,https://halalstock.in/is-apar-industries-ltd-halal-and-shariah-compliant/
APCOTEX INDUSTRIES LTD.,APCOTEXIND,APCOTEXIND,Miscellaneous,https://halalstock.in/is-apcotex-industries-ltd-halal-and-shariah-compliant/
Apex Ecotech Limited,,APEXECO,Water Supply &amp; Management,https://halalstock.in/is-apex-ecotech-limited-halal-and-shariah-compliant/
APEX FROZEN FOODS LTD,APEX,APEX,Aquaculture,https://halalstock.in/is-apex-frozen-foods-ltd-halal-and-shariah-compliant/
APL APOLLO TUBES LTD.,APLAPOLLO,APLAPOLLO,Steel - Large,https://halalstock.in/is-apl-apollo-tubes-ltd-halal-and-shariah-compliant/
APLAB LTD.,APLAB,,Electronics - Components,https://halalstock.in/is-aplab-ltd-halal-and-shariah-compliant/
APM INDUSTRIES LTD.,APMIN,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-apm-industries-ltd-halal-and-shariah-compliant/
APOLLO HOSPITALS ENTERPRISE LTD.,APOLLOHOSP,APOLLOHOSP,Healthcare,https://halalstock.in/is-apollo-hospitals-enterprise-ltd-halal-and-shariah-compliant/
APOLLO MICRO SYSTEMS LTD,APOLLO,APOLLO,Computers - Software - Medium / Small,https://halalstock.in/is-apollo-micro-systems-ltd-halal-and-shariah-compliant/
APOLLO PIPES LTD,APOLLOPIPES,APOLLOPIPE,Plastics Products,https://halalstock.in/is-apollo-pipes-ltd-halal-and-shariah-compliant/
APOLLO SINDOORI,,APOLSINHOT,Hotels,https://halalstock.in/is-apollo-sindoori-halal-and-shariah-compliant/
APOLLO TRICOAT TUBES LTD,APOLLOTRI,,Steel - Medium / Small,https://halalstock.in/is-apollo-tricoat-tubes-ltd-halal-and-shariah-compliant/
APOLLO TYRES LTD.,APOLLOTYRE,APOLLOTYRE,Tyres,https://halalstock.in/is-apollo-tyres-ltd-halal-and-shariah-compliant/
Aprameya Engineering Limited,,APRAMEYA,Medical Equipment &amp; Supplies,https://halalstock.in/is-aprameya-engineering-limited-halal-and-shariah-compliant/
APTECH LTD.,APTECHT,APTECHT,Computers - Education,https://halalstock.in/is-aptech-ltd-halal-and-shariah-compliant/
Aptus Pharma,APPL,,Pharmaceuticals,https://halalstock.in/is-aptus-pharma-halal-and-shariah-compliant/
Arabian Petroleum Ltd,,ARABIAN,Lubricants,https://halalstock.in/is-arabian-petroleum-ltd-halal-and-shariah-compliant/
ARC Insulation &amp; Insulators Ltd,,ARCIIL,Other Industrial Products,https://halalstock.in/is-arc-insulation-insulators-ltd-halal-and-shariah-compliant/
Archean Chemical Industries Ltd,ACI,ACI,Specialty Chemicals,https://halalstock.in/is-archean-chemical-industries-ltd-halal-and-shariah-compliant/
